Question,Answer
What is 16 × 18?,288
What is the square root of 81?,9
"If a square has a side length of 8, what is its area?",64
What is 71 + 84?,155
What is 85 + 12?,97
What is the square root of 324?,18
What is 18 × 12?,216
What is 10 + 72?,82
What is 78 - 20?,58
What is 39 ÷ 3?,13
What is 61 + 55?,116
"If a square has a side length of 17, what is its area?",289
"If a square has a side length of 14, what is its area?",196
What is the square root of 400?,20
"If a square has a side length of 19, what is its area?",361
What is 56 ÷ 14?,4
What is the square root of 64?,8
What is 87 + 36?,123
What is 82 + 6?,88
What is 39 + 79?,118
What is 285 ÷ 19?,15
What is 100 ÷ 5?,20
What is 88 ÷ 11?,8
What is 153 ÷ 9?,17
What is 38 + 78?,116
What is 24 ÷ 6?,4
"If a square has a side length of 13, what is its area?",169
What is 78 ÷ 6?,13
What is 2 × 12?,24
What is 6 × 1?,6
What is 360 ÷ 18?,20
"If a square has a side length of 11, what is its area?",121
What is the square root of 1?,1
What is the square root of 324?,18
What is 51 - 44?,7
What is 3 + 52?,55
What is 95 - 46?,49
What is 1 × 8?,8
"If a square has a side length of 2, what is its area?",4
What is 82 + 87?,169
What is 30 - 27?,3
What is 234 ÷ 13?,18
What is 89 + 79?,168
What is 94 - 58?,36
"If a square has a side length of 19, what is its area?",361
What is the square root of 25?,5
What is 99 + 13?,112
What is the square root of 49?,7
What is 16 × 19?,304
What is 100 - 18?,82
